"id","Source","Target","distance"
"17970","TAO","XIY","CA"
"17971","TAO","XMN","CA"
"17972","TAO","YCU","CA"
"17973","TAO","YNJ","CA"
"17974","TGO","PEK","CA"
"17975","TLV","PEK","CA"
"17976","TMP","ARN","CA"
"17977","TNA","CAN","CA"
"17978","TNA","CGO","CA"
"17979","TNA","CGQ","CA"
"17980","TNA","CKG","CA"
"17981","TNA","CSX","CA"
"17982","TNA","CTU","CA"
"17983","TNA","CTU","CA"
"17984","TNA","DLC","CA"
"17985","TNA","FOC","CA"
"17986","TNA","HET","CA"
"17987","TNA","HGH","CA"
"17988","TNA","HRB","CA"
"17989","TNA","ICN","CA"
"17990","TNA","INC","CA"
"17991","TNA","KHN","CA"
"17992","TNA","KIX","CA"
"17993","TNA","KMG","CA"
"17994","TNA","KWE","CA"
"17995","TNA","LHW","CA"
"17996","TNA","PEK","CA"
"17997","TNA","SHA","CA"
"17998","TNA","SHE","CA"
"17999","TNA","SZX","CA"
"18000","TNA","TYN","CA"
"18001","TNA","URC","CA"
"18002","TNA","WNZ","CA"
"18003","TNA","WUH","CA"
"18004","TNA","XIY","CA"
"18005","TNA","XMN","CA"
"18006","TNA","YNT","CA"
"18007","TPE","CKG","CA"
"18008","TPE","CTU","CA"
"18009","TPE","HET","CA"
"18010","TPE","HGH","CA"
"18011","TPE","PEK","CA"
"18012","TPE","PVG","CA"
"18013","TPE","WNZ","CA"
"18014","TSA","SHA","CA"
"18015","TSA","TSN","CA"
"18016","TSN","BAV","CA"
"18017","TSN","CAN","CA"
"18018","TSN","CGO","CA"
"18019","TSN","CKG","CA"
"18020","TSN","CSX","CA"
"18021","TSN","CTU","CA"
"18022","TSN","DLC","CA"
"18023","TSN","HAK","CA"
"18024","TSN","HET","CA"
"18025","TSN","HKG","CA"
"18026","TSN","HRB","CA"
"18027","TSN","ICN","CA"
"18028","TSN","ICN","CA"
"18029","TSN","KMG","CA"
"18030","TSN","NTG","CA"
"18031","TSN","SHA","CA"
"18032","TSN","SZX","CA"
"18033","TSN","SZX","CA"
"18034","TSN","TAO","CA"
"18035","TSN","TSA","CA"
"18036","TSN","XIY","CA"
"18037","TSN","XMN","CA"
"18038","TSN","YCU","CA"
"18039","TXN","PEK","CA"
"18040","TYN","BAV","CA"
"18041","TYN","CTU","CA"
"18042","TYN","DLC","CA"
"18043","TYN","DSN","CA"
"18044","TYN","HRB","CA"
"18045","TYN","KMG","CA"
"18046","TYN","LHW","CA"
"18047","TYN","MFM","CA"
"18048","TYN","NKG","CA"
"18049","TYN","PEK","CA"
"18050","TYN","SHE","CA"
"18051","TYN","SYX","CA"
"18052","TYN","SYX","CA"
"18053","TYN","SZX","CA"
"18054","TYN","SZX","CA"
"18055","TYN","TAO","CA"
"18056","TYN","TNA","CA"
"18057","TYN","URC","CA"
"18058","ULN","PEK","CA"
"18059","URC","CGO","CA"
"18060","URC","CKG","CA"
"18061","URC","CTU","CA"
"18062","URC","HTN","CA"
"18063","URC","INC","CA"
"18064","URC","KHG","CA"
"18065","URC","KHG","CA"
"18066","URC","LHW","CA"
"18067","URC","PEK","CA"
"18068","URC","TNA","CA"
"18069","URC","TYN","CA"
"18070","URC","XIY","CA"
"18071","URC","YCU","CA"
"18072","UYN","CTU","CA"
"18073","VAA","ARN","CA"
"18074","VIE","BCN","CA"
"18075","VIE","PEK","CA"
"18076","VIE","PEK","CA"
"18077","WAW","PEK","CA"
"18078","WNZ","CAN","CA"
"18079","WNZ","CKG","CA"
"18080","WNZ","CTU","CA"
"18081","WNZ","KMG","CA"
"18082","WNZ","KWE","CA"
"18083","WNZ","PEK","CA"
"18084","WNZ","PVG","CA"
"18085","WNZ","SHE","CA"
"18086","WNZ","SYX","CA"
"18087","WNZ","SZX","CA"
"18088","WNZ","TAO","CA"
"18089","WNZ","TNA","CA"
"18090","WNZ","TPE","CA"
"18091","WNZ","XIY","CA"
"18092","WNZ","ZUH","CA"
"18093","WUA","PEK","CA"
"18094","WUH","CAN","CA"
"18095","WUH","CAN","CA"
"18096","WUH","CGQ","CA"
"18097","WUH","CKG","CA"
"18098","WUH","CNX","CA"
"18099","WUH","CTU","CA"
"18100","WUH","HET","CA"
"18101","WUH","HET","CA"
"18102","WUH","HKG","CA"
"18103","WUH","HKG","CA"
"18104","WUH","INC","CA"
"18105","WUH","KMG","CA"
"18106","WUH","KWE","CA"
"18107","WUH","MFM","CA"
"18108","WUH","NNG","CA"
"18109","WUH","PEK","CA"
"18110","WUH","SHE","CA"
"18111","WUH","SZX","CA"
"18112","WUH","SZX","CA"
"18113","WUH","TAO","CA"
"18114","WUH","TNA","CA"
"18115","WUH","WUX","CA"
"18116","WUH","XMN","CA"
"18117","WUH","XMN","CA"
"18118","WUH","XNN","CA"
"18119","WUH","YNT","CA"
"18120","WUH","YNT","CA"
"18121","WUS","CAN","CA"
"18122","WUS","CKG","CA"
"18123","WUS","TAO","CA"
"18124","WUS","XMN","CA"
"18125","WUX","CAN","CA"
"18126","WUX","CAN","CA"
"18127","WUX","CKG","CA"
"18128","WUX","CTU","CA"
"18129","WUX","DLC","CA"
"18130","WUX","DLC","CA"
"18131","WUX","FOC","CA"
"18132","WUX","PEK","CA"
"18133","WUX","PEK","CA"
"18134","WUX","SHE","CA"
"18135","WUX","SYX","CA"
"18136","WUX","SZX","CA"
"18137","WUX","SZX","CA"
"18138","WUX","WUH","CA"
"18139","WUX","XIY","CA"
"18140","WUX","XMN","CA"
"18141","WXN","CAN","CA"
"18142","XFN","PEK","CA"
"18143","XFN","SZX","CA"
"18144","XIC","CTU","CA"
"18145","XIL","PEK","CA"
"18146","XIY","CAN","CA"
"18147","XIY","CKG","CA"
"18148","XIY","CTU","CA"
"18149","XIY","DLC","CA"
"18150","XIY","HGH","CA"
"18151","XIY","HGH","CA"
"18152","XIY","HRB","CA"
"18153","XIY","INC","CA"
"18154","XIY","INC","CA"
"18155","XIY","JDZ","CA"
"18156","XIY","KWE","CA"
"18157","XIY","KWL","CA"
"18158","XIY","LHW","CA"
"18159","XIY","NKG","CA"
"18160","XIY","NNG","CA"
"18161","XIY","PEK","CA"
"18162","XIY","PVG","CA"
"18163","XIY","SHE","CA"
"18164","XIY","SZX","CA"
"18165","XIY","TAO","CA"
"18166","XIY","TNA","CA"
"18167","XIY","TSN","CA"
"18168","XIY","URC","CA"
"18169","XIY","WNZ","CA"
"18170","XIY","WUX","CA"
"18171","XIY","XMN","CA"
"18172","XIY","XNN","CA"
"18173","XIY","XNN","CA"
"18174","XIY","YNT","CA"
"18175","XIY","YTY","CA"
"18176","XMN","CAN","CA"
"18177","XMN","CGK","CA"
"18178","XMN","CGO","CA"
"18179","XMN","CKG","CA"
"18180","XMN","CSX","CA"
"18181","XMN","CTU","CA"
"18182","XMN","HFE","CA"
"18183","XMN","HGH","CA"
"18184","XMN","JDZ","CA"
"18185","XMN","JIU","CA"
"18186","XMN","JUZ","CA"
"18187","XMN","KMG","CA"
"18188","XMN","KWE","CA"
"18189","XMN","KWL","CA"
"18190","XMN","MFM","CA"
"18191","XMN","NKG","CA"
"18192","XMN","NKG","CA"
"18193","XMN","NNG","CA"
"18194","XMN","NRT","CA"
"18195","XMN","NTG","CA"
"18196","XMN","PEK","CA"
"18197","XMN","SYX","CA"
"18198","XMN","SZX","CA"
"18199","XMN","TAO","CA"
"18200","XMN","TNA","CA"
"18201","XMN","TSN","CA"
"18202","XMN","WUH","CA"
"18203","XMN","WUH","CA"
"18204","XMN","WUS","CA"
"18205","XMN","WUX","CA"
"18206","XMN","XIY","CA"
"18207","XMN","YTY","CA"
"18208","XMN","ZUH","CA"
"18209","XNN","CGO","CA"
"18210","XNN","CTU","CA"
"18211","XNN","PEK","CA"
"18212","XNN","WUH","CA"
"18213","XNN","XIY","CA"
"18214","XNN","XIY","CA"
"18215","YBP","CAN","CA"
"18216","YBP","PEK","CA"
"18217","YBP","SZX","CA"
"18218","YCU","CAN","CA"
"18219","YCU","CTU","CA"
"18220","YCU","HGH","CA"
"18221","YCU","KMG","CA"
"18222","YCU","LHW","CA"
"18223","YCU","PEK","CA"
"18224","YCU","SZX","CA"
"18225","YCU","TAO","CA"
"18226","YCU","TSN","CA"
"18227","YCU","URC","CA"
"18228","YIC","PEK","CA"
"18229","YIC","SZX","CA"
"18230","YIH","PEK","CA"
"18231","YIH","SZX","CA"
"18232","YIN","CTU","CA"
"18233","YIW","CTU","CA"
"18234","YIW","PEK","CA"
"18235","YNJ","ICN","CA"
"18236","YNJ","ICN","CA"
"18237","YNJ","PEK","CA"
"18238","YNJ","TAO","CA"
"18239","YNT","CAN","CA"
"18240","YNT","CGQ","CA"
"18241","YNT","CGQ","CA"
"18242","YNT","CTU","CA"
"18243","YNT","HGH","CA"
"18244","YNT","HRB","CA"
"18245","YNT","ICN","CA"
"18246","YNT","NKG","CA"
"18247","YNT","PEK","CA"
"18248","YNT","PEK","CA"
"18249","YNT","PVG","CA"
"18250","YNT","SHA","CA"
"18251","YNT","SJW","CA"
"18252","YNT","SZX","CA"
"18253","YNT","TNA","CA"
"18254","YNT","WUH","CA"
"18255","YNT","WUH","CA"
"18256","YNT","XIY","CA"
"18257","YNZ","PEK","CA"
"18258","YTY","CKG","CA"
"18259","YTY","PEK","CA"
"18260","YTY","XIY","CA"
"18261","YTY","XMN","CA"
"18262","YVR","PEK","CA"
"18263","YVR","PEK","CA"
"18264","YVR","PVG","CA"
"18265","YYZ","PEK","CA"
"18266","YYZ","PVG","CA"
"18267","ZHA","CTU","CA"
"18268","ZHA","PEK","CA"
"18269","ZHA","SZX","CA"
"18270","ZUH","CKG","CA"
"18271","ZUH","CTU","CA"
"18272","ZUH","FOC","CA"
"18273","ZUH","HYN","CA"
"18274","ZUH","KHN","CA"
"18275","ZUH","KWE","CA"
"18276","ZUH","NNG","CA"
"18277","ZUH","NNG","CA"
"18278","ZUH","PEK","CA"
"18279","ZUH","WNZ","CA"
"18280","ZUH","XMN","CA"
"18281","ZYI","PEK","CA"
"18282","GUA","SAP","CC"
"18283","GUA","TGU","CC"
"18284","PEU","TGU","CC"
"18285","RTB","GUA","CC"
"18286","RTB","SAP","CC"
"18287","RTB","SAP","CC"
"18288","RTB","TGU","CC"
"18289","SAP","GUA","CC"
"18290","SAP","RTB","CC"
"18291","SAP","RTB","CC"
"18292","SAP","TGU","CC"
"18293","SAP","TGU","CC"
"18294","TGU","GUA","CC"
"18295","TGU","PEU","CC"
"18296","TGU","RTB","CC"
"18297","TGU","SAP","CC"
"18298","TGU","SAP","CC"
"18299","AJA","AVN","CE"
"18300","AVN","AJA","CE"
"18301","AVN","LIG","CE"
"18302","BES","BOD","CE"
"18303","BOD","BES","CE"
"18304","BOD","RNS","CE"
"18305","LIG","AVN","CE"
"18306","LIG","LYS","CE"
"18307","LYS","LIG","CE"
"18308","RNS","BOD","CE"
"18309","BNE","POM","CG"
"18310","BUA","RAB","CG"
"18311","DAU","LAE","CG"
"18312","DAU","POM","CG"
"18313","DAU","UNG","CG"
"18314","GKA","HGU","CG"
"18315","GKA","LAE","CG"
"18316","GKA","MAG","CG"
"18317","GKA","POM","CG"
"18318","GUR","LSA","CG"
"18319","GUR","MIS","CG"
"18320","GUR","PNP","CG"
"18321","GUR","POM","CG"
"18322","HGU","GKA","CG"
"18323","HGU","LAE","CG"
"18324","HGU","MAG","CG"
"18325","HGU","MXH","CG"
"18326","HGU","POM","CG"
"18327","HGU","TBG","CG"
"18328","HGU","TBG","CG"
"18329","HGU","TIZ","CG"
"18330","HGU","WWK","CG"
"18331","HKN","LAE","CG"
"18332","HKN","POM","CG"
"18333","HKN","RAB","CG"
"18334","KVG","RAB","CG"
"18335","LAE","DAU","CG"
"18336","LAE","GKA","CG"
"18337","LAE","HGU","CG"
"18338","LAE","HKN","CG"
"18339","LAE","MAG","CG"
"18340","LAE","MAS","CG"
"18341","LAE","PNP","CG"
"18342","LAE","POM","CG"
"18343","LAE","RAB","CG"
"18344","LNV","POM","CG"
"18345","LSA","GUR","CG"
"18346","MAG","GKA","CG"
"18347","MAG","HGU","CG"
"18348","MAG","LAE","CG"
"18349","MAG","WWK","CG"
"18350","MAS","LAE","CG"
"18351","MIS","GUR","CG"
"18352","MXH","HGU","CG"
"18353","MXH","POM","CG"
"18354","PNP","GUR","CG"
"18355","PNP","LAE","CG"
"18356","PNP","POM","CG"
"18357","PNP","TFI","CG"
"18358","POM","BNE","CG"
"18359","POM","BUL","CG"
"18360","POM","DAU","CG"
"18361","POM","GKA","CG"
"18362","POM","GUR","CG"
"18363","POM","HGU","CG"
"18364","POM","HKN","CG"
"18365","POM","LAE","CG"
"18366","POM","LNV","CG"
"18367","POM","MXH","CG"
"18368","POM","PNP","CG"
"18369","POM","RAB","CG"
"18370","POM","TBG","CG"
"18371","POM","TFI","CG"
"18372","POM","TIZ","CG"
"18373","POM","UNG","CG"
"18374","RAB","BUA","CG"
"18375","RAB","HKN","CG"
"18376","RAB","KVG","CG"
"18377","RAB","LAE","CG"
"18378","RAB","LNV","CG"
"18379","RAB","POM","CG"
"18380","TBG","HGU","CG"
"18381","TBG","POM","CG"
"18382","TBG","UNG","CG"
"18383","TFI","PNP","CG"
"18384","TIZ","HGU","CG"
"18385","TIZ","MXH","CG"
"18386","UNG","DAU","CG"
"18387","UNG","HGU","CG"
"18388","UNG","POM","CG"
"18389","UNG","TBG","CG"
"18390","WWK","HGU","CG"
"18391","WWK","MAG","CG"
"18392","AKL","BNE","CI"
"18393","AKL","SYD","CI"
"18394","AMS","BKK","CI"
"18395","AMS","LHR","CI"
"18396","AMS","LHR","CI"
"18397","AMS","MAN","CI"
"18398","ATL","DFW","CI"
"18399","ATL","LAX","CI"
"18400","ATL","SFO","CI"
"18401","BKK","AMS","CI"
"18402","BKK","DME","CI"
"18403","BKK","KHH","CI"
"18404","BKK","TPE","CI"
"18405","BNE","AKL","CI"
"18406","BNE","TPE","CI"
"18407","CAN","TPE","CI"
"18408","CAN","TPE","CI"
"18409","CGK","HKG","CI"
"18410","CGK","TPE","CI"
"18411","CGK","TPE","CI"
"18412","CKG","KHH","CI"
"18413","CTS","TPE","CI"
"18414","CTU","TPE","CI"
"18415","DEL","FCO","CI"
"18416","DEL","TPE","CI"
"18417","DLC","TPE","CI"
"18418","DLC","TPE","CI"
"18419","DME","BKK","CI"
"18420","DPS","TPE","CI"
"18421","FCO","DEL","CI"
"18422","FRA","TPE","CI"
"18423","FSZ","TPE","CI"
"18424","FUK","TPE","CI"
"18425","GMP","TSA","CI"
"18426","GUA","LAX","CI"
"18427","GUM","TPE","CI"
"18428","HAK","TPE","CI"
"18429","HAN","TPE","CI"
"18430","HAN","TPE","CI"
"18431","HIJ","TPE","CI"
"18432","HKG","CGK","CI"
"18433","HKG","KHH","CI"
"18434","HKG","TNN","CI"
"18435","HKG","TPE","CI"
"18436","HND","TSA","CI"
"18437","HND","TSA","CI"
"18438","HNL","NRT","CI"
"18439","HNL","TPE","CI"
"18440","IAH","ATL","CI"
"18441","ICN","TPE","CI"
"18442","ICN","TPE","CI"
"18443","ISG","TPE","CI"
"18444","JFK","KIX","CI"
"18445","KHH","BKK","CI"
"18446","KHH","CKG","CI"
"18447","KHH","HKG","CI"
"18448","KHH","KHN","CI"
"18449","KHH","KIX","CI"
"18450","KHH","MNL","CI"
"18451","KHH","NRT","CI"
"18452","KHH","OKA","CI"
"18453","KHH","PEK","CI"
"18454","KHH","PVG","CI"
"18455","KHH","SGN","CI"
"18456","KHH","SIN","CI"
"18457","KHH","SZX","CI"
"18458","KHN","KHH","CI"
"18459","KHN","TPE","CI"
"18460","KIX","JFK","CI"
"18461","KIX","KHH","CI"
"18462","KIX","RMQ","CI"
"18463","KIX","TPE","CI"
"18464","KMI","TPE","CI"
"18465","KOJ","TPE","CI"
"18466","KUL","TPE","CI"
"18467","LAX","ATL","CI"
"18468","LAX","GUA","CI"
"18469","LAX","MSY","CI"
"18470","LAX","TPE","CI"
"18471","LHR","AMS","CI"
"18472","MNL","KHH","CI"
"18473","MNL","TPE","CI"
"18474","MSY","LAX","CI"
"18475","NGO","TPE","CI"
"18476","NRT","HNL","CI"
"18477","NRT","KHH","CI"
"18478","NRT","TPE","CI"
"18479","OKA","KHH","CI"
"18480","OKA","TPE","CI"
"18481","PEK","KHH","CI"
"18482","PEK","TPE","CI"
"18483","PEN","TPE","CI"
"18484","PNH","TPE","CI"
"18485","PUS","TPE","CI"
"18486","PVG","KHH","CI"
"18487","PVG","TPE","CI"
"18488","PVG","TPE","CI"
"18489","RGN","TPE","CI"
"18490","RMQ","KIX","CI"
"18491","ROR","TPE","CI"
"18492","SFO","ATL","CI"
"18493","SFO","TPE","CI"
"18494","SGN","KHH","CI"
"18495","SGN","TPE","CI"
"18496","SHA","TSA","CI"
"18497","SHA","TSA","CI"
"18498","SIN","KHH","CI"
"18499","SIN","SUB","CI"
"18500","SIN","TPE","CI"
"18501","SUB","SIN","CI"
"18502","SYD","AKL","CI"
"18503","SYD","TPE","CI"
"18504","SYX","TPE","CI"
"18505","SZX","KHH","CI"
"18506","SZX","TPE","CI"
"18507","SZX","TPE","CI"
"18508","TAK","TPE","CI"
"18509","TAO","TPE","CI"
"18510","TAO","TPE","CI"
"18511","TNN","HKG","CI"
"18512","TOY","TPE","CI"
"18513","TPE","BKK","CI"
"18514","TPE","BNE","CI"
"18515","TPE","CAN","CI"
"18516","TPE","CAN","CI"
"18517","TPE","CGK","CI"
"18518","TPE","CGK","CI"
"18519","TPE","CTS","CI"
"18520","TPE","CTU","CI"
"18521","TPE","DEL","CI"
"18522","TPE","DLC","CI"
"18523","TPE","DLC","CI"
"18524","TPE","DPS","CI"
"18525","TPE","FRA","CI"
"18526","TPE","FSZ","CI"
"18527","TPE","FUK","CI"
"18528","TPE","GUM","CI"
"18529","TPE","HAK","CI"
"18530","TPE","HAN","CI"
"18531","TPE","HAN","CI"
"18532","TPE","HIJ","CI"
"18533","TPE","HKG","CI"
"18534","TPE","HND","CI"
"18535","TPE","HNL","CI"
"18536","TPE","ICN","CI"
"18537","TPE","ICN","CI"
"18538","TPE","ISG","CI"
"18539","TPE","KHN","CI"
"18540","TPE","KIX","CI"
"18541","TPE","KMI","CI"
"18542","TPE","KOJ","CI"
"18543","TPE","KUL","CI"
"18544","TPE","LAX","CI"
"18545","TPE","MNL","CI"
"18546","TPE","NGO","CI"
"18547","TPE","NRT","CI"
"18548","TPE","OKA","CI"
"18549","TPE","PEK","CI"
"18550","TPE","PEN","CI"
"18551","TPE","PNH","CI"
"18552","TPE","PUS","CI"
"18553","TPE","PVG","CI"
"18554","TPE","PVG","CI"
"18555","TPE","RGN","CI"
"18556","TPE","ROR","CI"
"18557","TPE","SFO","CI"
"18558","TPE","SGN","CI"
"18559","TPE","SIN","CI"
"18560","TPE","SYD","CI"
"18561","TPE","SYX","CI"
"18562","TPE","SZX","CI"
"18563","TPE","SZX","CI"
"18564","TPE","TAK","CI"
"18565","TPE","TAO","CI"
"18566","TPE","TAO","CI"
"18567","TPE","TOY","CI"
"18568","TPE","URC","CI"
"18569","TPE","URC","CI"
"18570","TPE","VIE","CI"
"18571","TPE","WUH","CI"
"18572","TPE","WUH","CI"
"18573","TPE","WUX","CI"
"18574","TPE","XIY","CI"
"18575","TPE","XIY","CI"
"18576","TPE","YVR","CI"
"18577","TSA","GMP","CI"
"18578","TSA","HND","CI"
"18579","TSA","HND","CI"
"18580","TSA","SHA","CI"
"18581","TSA","SHA","CI"
"18582","URC","TPE","CI"
"18583","URC","TPE","CI"
"18584","VIE","TPE","CI"
"18585","WUH","TPE","CI"
"18586","WUH","TPE","CI"
"18587","WUX","TPE","CI"
"18588","XIY","TPE","CI"
"18589","XIY","TPE","CI"
"18590","YVR","TPE","CI"
"18591","ADZ","BAQ","CM"
"18592","ADZ","BOG","CM"
"18593","ADZ","CLO","CM"
"18594","ADZ","CTG","CM"
"18595","ADZ","MDE","CM"
"18596","ADZ","PEI","CM"
"18597","ADZ","PTY","CM"
"18598","ASU","PTY","CM"
"18599","AUA","PTY","CM"
"18600","BAQ","ADZ","CM"
"18601","BAQ","BOG","CM"
"18602","BAQ","PTY","CM"
"18603","BAQ","PTY","CM"
"18604","BGA","BOG","CM"
"18605","BGA","BOG","CM"
"18606","BGA","PTY","CM"
"18607","BOG","ADZ","CM"
"18608","BOG","ADZ","CM"
"18609","BOG","BAQ","CM"
"18610","BOG","BGA","CM"
"18611","BOG","BGA","CM"
"18612","BOG","CCS","CM"
"18613","BOG","CLO","CM"
"18614","BOG","CLO","CM"
"18615","BOG","CTG","CM"
"18616","BOG","CTG","CM"
"18617","BOG","CUN","CM"
"18618","BOG","HAV","CM"
"18619","BOG","LET","CM"
"18620","BOG","MDE","CM"
"18621","BOG","MEX","CM"
"18622","BOG","PEI","CM"
"18623","BOG","PTY","CM"
"18624","BOG","PTY","CM"
"18625","BOG","PUJ","CM"
"18626","BOG","SMR","CM"
"18627","BOG","SMR","CM"
"18628","BOG","UIO","CM"
"18629","BOS","PTY","CM"
"18630","BSB","PTY","CM"
"18631","CCS","BOG","CM"
"18632","CCS","MDE","CM"
"18633","CCS","PTY","CM"
"18634","CLO","ADZ","CM"
"18635","CLO","BOG","CM"
"18636","CLO","BOG","CM"
"18637","CLO","PTY","CM"
"18638","CLO","PTY","CM"
"18639","CNF","PTY","CM"
"18640","COR","PTY","CM"
"18641","CTG","ADZ","CM"
"18642","CTG","BOG","CM"
"18643","CTG","BOG","CM"
"18644","CTG","PTY","CM"
"18645","CTG","PTY","CM"
"18646","CUC","PTY","CM"
"18647","CUN","BOG","CM"
"18648","CUN","PTY","CM"
"18649","CUR","PTY","CM"
"18650","EWR","PTY","CM"
"18651","EZE","PTY","CM"
"18652","GDL","PTY","CM"
"18653","GIG","PTY","CM"
"18654","GRU","PTY","CM"
"18655","GUA","MGA","CM"
"18656","GUA","PTY","CM"
"18657","GUA","SJO","CM"
"18658","GYE","PTY","CM"
"18659","HAV","BOG","CM"
"18660","HAV","PTY","CM"
"18661","IAD","PTY","CM"
"18662","IAH","PTY","CM"
"18663","IAH","SFO","CM"
"18664","IQT","PTY","CM"
"18665","JFK","PTY","CM"
"18666","KIN","PTY","CM"
"18667","LAS","PTY","CM"
"18668","LAX","PTY","CM"
"18669","LET","BOG","CM"
"18670","LIM","PTY","CM"
"18671","LIR","PTY","CM"
"18672","MAO","PTY","CM"
"18673","MAR","PTY","CM"
"18674","MBJ","PTY","CM"
"18675","MCO","PTY","CM"
"18676","MDE","ADZ","CM"
"18677","MDE","BOG","CM"
"18678","MDE","CCS","CM"
"18679","MDE","PTY","CM"
"18680","MDE","PTY","CM"
"18681","MEX","BOG","CM"
"18682","MEX","PTY","CM"
"18683","MGA","GUA","CM"
"18684","MGA","PTY","CM"
"18685","MGA","SJO","CM"
"18686","MIA","PTY","CM"
"18687","MTY","PTY","CM"
"18688","MVD","PTY","CM"
"18689","NAS","PTY","CM"
"18690","ORD","PTY","CM"
"18691","PAP","PTY","CM"
"18692","PEI","ADZ","CM"
"18693","PEI","BOG","CM"
"18694","PEI","PTY","CM"
"18695","POA","PTY","CM"
"18696","POS","PTY","CM"
"18697","PTY","ADZ","CM"
"18698","PTY","ASU","CM"
"18699","PTY","AUA","CM"
"18700","PTY","BAQ","CM"
"18701","PTY","BAQ","CM"
"18702","PTY","BGA","CM"
"18703","PTY","BOG","CM"
"18704","PTY","BOG","CM"
"18705","PTY","BOS","CM"
"18706","PTY","BSB","CM"
"18707","PTY","CCS","CM"
"18708","PTY","CLO","CM"
"18709","PTY","CLO","CM"
"18710","PTY","CNF","CM"
"18711","PTY","COR","CM"
"18712","PTY","CTG","CM"
"18713","PTY","CTG","CM"
"18714","PTY","CUC","CM"
"18715","PTY","CUN","CM"
"18716","PTY","CUR","CM"
"18717","PTY","EWR","CM"
"18718","PTY","EZE","CM"
"18719","PTY","GDL","CM"
"18720","PTY","GIG","CM"
"18721","PTY","GRU","CM"
"18722","PTY","GUA","CM"
"18723","PTY","GYE","CM"
"18724","PTY","HAV","CM"
"18725","PTY","IAD","CM"
"18726","PTY","IAH","CM"
"18727","PTY","IQT","CM"
"18728","PTY","JFK","CM"
"18729","PTY","KIN","CM"
"18730","PTY","LAS","CM"
"18731","PTY","LAX","CM"
"18732","PTY","LIM","CM"
"18733","PTY","LIR","CM"
"18734","PTY","MAO","CM"
"18735","PTY","MAR","CM"
"18736","PTY","MBJ","CM"
"18737","PTY","MCO","CM"
"18738","PTY","MDE","CM"
"18739","PTY","MDE","CM"
"18740","PTY","MEX","CM"
"18741","PTY","MGA","CM"
"18742","PTY","MIA","CM"
"18743","PTY","MTY","CM"
"18744","PTY","MVD","CM"
"18745","PTY","NAS","CM"
"18746","PTY","ORD","CM"
"18747","PTY","PAP","CM"
"18748","PTY","PEI","CM"
"18749","PTY","POA","CM"
"18750","PTY","POS","CM"
"18751","PTY","PUJ","CM"
"18752","PTY","REC","CM"
"18753","PTY","SAL","CM"
"18754","PTY","SAP","CM"
"18755","PTY","SCL","CM"
"18756","PTY","SDQ","CM"
"18757","PTY","SJO","CM"
"18758","PTY","SJU","CM"
"18759","PTY","STI","CM"
"18760","PTY","SXM","CM"
"18761","PTY","TGU","CM"
"18762","PTY","TPA","CM"
"18763","PTY","UIO","CM"
"18764","PTY","VLN","CM"
"18765","PTY","VVI","CM"
"18766","PTY","YYZ","CM"
"18767","PUJ","BOG","CM"
"18768","PUJ","PTY","CM"
"18769","REC","PTY","CM"
"18770","SAL","PTY","CM"
"18771","SAP","PTY","CM"
"18772","SAP","SJO","CM"
"18773","SCL","PTY","CM"
"18774","SDQ","PTY","CM"
"18775","SEA","IAH","CM"
"18776","SJO","GUA","CM"
"18777","SJO","MGA","CM"
"18778","SJO","PTY","CM"
"18779","SJO","SAP","CM"
"18780","SJO","TGU","CM"
"18781","SJU","PTY","CM"
"18782","SMR","BOG","CM"
"18783","SMR","BOG","CM"
"18784","STI","PTY","CM"
"18785","SXM","PTY","CM"
"18786","TGU","PTY","CM"
"18787","TGU","SJO","CM"
"18788","TPA","PTY","CM"
"18789","UIO","BOG","CM"
"18790","UIO","PTY","CM"
"18791","VLN","PTY","CM"
"18792","VVI","PTY","CM"
"18793","YYZ","PTY","CM"
"18794","HLD","PEK","CN"
"18795","HRB","PEK","CN"
"18796","INC","PEK","CN"
"18797","KWL","PEK","CN"
"18798","MDG","PEK","CN"
"18799","PEK","HLD","CN"
"18800","PEK","HRB","CN"
"18801","PEK","INC","CN"
"18802","PEK","KWL","CN"
"18803","PEK","MDG","CN"
"18804","BOG","HAV","CU"
"18805","CCC","HAV","CU"
"18806","CCC","VRA","CU"
"18807","CCS","HAV","CU"
"18808","CMW","HAV","CU"
"18809","CMW","YUL","CU"
"18810","CMW","YYZ","CU"
"18811","CUN","FCO","CU"
"18812","CUN","HAV","CU"
"18813","CYO","HAV","CU"
"18814","CYO","SCU","CU"
"18815","EZE","CCC","CU"
"18816","FCO","HAV","CU"
"18817","FCO","HAV","CU"
"18818","FDF","HAV","CU"
"18819","GAO","HAV","CU"
"18820","HAV","BOG","CU"
"18821","HAV","CCS","CU"
"18822","HAV","CMW","CU"
"18823","HAV","CUN","CU"
"18824","HAV","CUN","CU"
"18825","HAV","EZE","CU"
"18826","HAV","FDF","CU"
"18827","HAV","GAO","CU"
"18828","HAV","HOG","CU"
"18829","HAV","MAD","CU"
"18830","HAV","MEX","CU"
"18831","HAV","NAS","CU"
"18832","HAV","ORY","CU"
"18833","HAV","PMV","CU"
"18834","HAV","PTY","CU"
"18835","HAV","SCU","CU"
"18836","HAV","SCU","CU"
"18837","HAV","SDQ","CU"
"18838","HAV","SNU","CU"
"18839","HAV","SVO","CU"
"18840","HOG","HAV","CU"
"18841","HOG","YUL","CU"
"18842","MAD","HAV","CU"
