"serial_num","id","latitude","longitude","Label"
"177","ANK",39.9575,"32.6744","ANKARA/ETIMESGUT"
"178","ANM",-14.9994,"50.3202","Antalaha"
"179","ANN",55.0425,"-131.5722","ANNETTE ISLAND"
"180","ANO",-16.1833,"39.9333","ANGOCHE"
"181","ANR",51.1894,"4.4603","Antwerp"
"182","ANS",-13.7042,"-73.3481","Andahuaylas"
"183","ANU",17.1367,"-61.7928","Antigua                                 "
"184","ANV",62.6467,"-160.1907","Anvik                                   "
"185","ANW",42.58,"-99.9933","AINSWORTH"
"186","ANX",69.2925,"16.1442","Andenes                                 "
"187","AOC",50.9818,"12.5064","ALTENBURG-NOBITZ"
"188","AOE",39.8117,"30.5286","Eskisehir"
"189","AOG",41.1053,"122.8539","Anshan"
"190","AOI",43.6167,"13.3603","Ancona"
"191","AOJ",40.7347,"140.6908","Aomori                                  "
"192","AOK",35.4167,"27.1500","Karpathos"
"193","AOL",-29.6881,"-57.1522","PASO DE LOS LIBRES"
"194","AOO",40.2964,"-78.3200","Altoona"
"195","AOQ",72.8869,"-55.5961","Aappilattoq"
"196","AOR",6.1944,"100.4008","Alor Setar"
"197","AOS",57.4667,"-153.8333","Amook                                   "
"198","AOT",45.7386,"7.3681","AOSTA"
"199","AOU",14.8,"106.8167","ATTOPEU"
"200","AOX",46.0525,"63.2492","YUBILEYNYI/BAJKONUR"
"201","APA",39.5701,"-104.8493","DENVER/ARAPAHOE/CENTENNIAL"
"202","APC",38.2131,"-122.2806","NAPA CO"
"203","APF",26.1526,"-81.7753","Naples"
"204","APG",39.4662,"-76.1688","PHILLIPS AAF (ABERDEEN PG)"
"205","API",4.0761,"-73.5627","GOMEZ NINO APIAY AB"
"206","APK",-15.5736,"-146.4153","Apataki                                 "
"207","APL",-15.1,"39.2833","Nampula                                 "
"208","APN",45.0781,"-83.5603","Alpena"
"209","APO",7.033,"-77.2000","Apartado"
"210","APS",-16.3619,"-48.9275","ANAPOLIS"
"211","APU",-23.6117,"-51.3844","APUCARANA"
"212","APV",34.5753,"-117.1862","APPLE VALLEY"
"213","APW",-13.8297,"-171.9972","Apia Faleolo Apt"
"214","APX",-23.3625,"-51.4792","ARAPONGAS"
"215","AQA",-21.8039,"-48.1397","Araraquara                              "
"216","AQG",30.5822,"117.0503","Anqing"
"217","AQI",28.3352,"46.1249","Qaisumah                                "
"218","AQJ",29.6116,"35.0181","Aqaba                                   "
"219","AQP",-16.3403,"-71.5728","Arequipa"
"220","ARA",30.0378,"-91.8839","NEW IBERIA/ACADIANA RGNL"
"221","ARC",68.1147,"-145.5794","Arctic Village"
"222","ARH",64.6,"40.7183","Arkhangelsk"
"223","ARI",-18.3486,"-70.3386","Arica"
"224","ARK",-3.3678,"36.6333","Arusha"
"225","ARM",-30.53,"151.6175","Armidale                                "
"226","ARN",59.6519,"17.9186","Stockholm Arlanda Apt"
"227","ARS",-15.8989,"-52.2403","ARAGARCAS"
"228","ART",43.9919,"-76.0217","Watertown"
"229","ARU",-21.1436,"-50.4258","Aracatuba                               "
"230","ARV",45.9279,"-89.7309","  Minocqua-Woodruff"
"231","ARW",46.1765,"21.2620","Arad"
"232","ARY",-37.3119,"142.9906","ARARAT"
"233","ASA",13.0667,"42.6333","ASSAB"
"234","ASB",37.9917,"58.3633","Ashgabat International                  "
"235","ASD",24.6983,"-77.7956","  Andros Town"
"236","ASE",39.2232,"-106.8688","Aspen"
"237","ASF",46.2833,"48.0083","Astrakhan"
"238","ASI",-7.97,"-14.3933","ASCENSION AUX AB WIDEAWAKE"
"239","ASJ",28.4308,"129.7126","Amami                                   "
"240","ASK",6.9061,"-5.3626","YAMOUSSOUKRO"
"241","ASM",15.2842,"38.9000","Asmara"
"242","ASO",10.0185,"34.5863","Asosa"
"243","ASP",-23.8067,"133.9017","Alice Springs Airport                   "
"244","ASR",38.7703,"35.4953","Kayseri"
"245","AST",44.8373,"-117.8075","ASTORIA"
"246","ASU",-25.2411,"-57.5168","Asuncion"
"247","ASV",-2.633,"37.2500","Amboseli"
"248","ASW",23.9644,"32.8200","Aswan                                   "
"249","ATA",-9.3436,"-77.5958","Anta                                    "
"250","ATB",17.7097,"34.0574","ATBARA"
"251","ATC",24.67,"-75.7500","Arthur's Town"
"252","ATD",-8.8733,"161.0114","Atoifi"
"253","ATF",-1.2119,"-78.5747","AMBATO/CHACHOAN"
"254","ATH",37.9367,"23.9445","Athens                                  "
"255","ATK",70.4673,"-157.4357","Atqasuk"
"256","ATL",33.6367,"-84.4281","Atlanta Hartsfield-Jackson Intl Apt"
"257","ATM",-3.2506,"-52.2517","Altamira"
"258","ATN",-3.667,"152.4330","  Namatanai"
"259","ATQ",31.7044,"74.8021","Amritsar"
"260","ATR",20.5008,"-13.0467","ATAR"
"261","ATT",60.8667,"-162.2731","Atmautluak"
"262","ATW",44.2581,"-88.5191","Appleton"
"263","ATY",44.914,"-97.1547","Watertown"
"264","ATZ",27.0464,"31.0119","Asyut                                   "
"265","AUA",12.5014,"-70.0152","Aruba                                   "
"266","AUC",7.0689,"-70.7369","Arauca"
"267","AUF",47.8464,"3.4967","AUXERRE/BRANCHES"
"268","AUG",44.32,"-69.7967","Augusta                                 "
"269","AUH",24.4367,"54.6508","Abu Dhabi International Apt"
"270","AUK",62.68,"-164.6599","Alakanuk"
"271","AUL",8.1333,"171.1667","XXX"
"272","AUQ",-9.7667,"-139.0167","Hiva Oa"
"273","AUR",44.8975,"2.4167","Aurillac"
"274","AUS",30.195,"-97.6700","Austin-Bergstrom International Apt      "
"275","AUU",-13.3539,"141.7208","Aurukun"
"276","AUW",44.9285,"-89.6266","WAUSAU DOWNTOWN"
"277","AUX",-7.2281,"-48.2403","Araguaina"
"278","AUY",-20.2492,"169.7714","Aneityum"
"279","AVA",26.2606,"105.8731","Anshun                                  "
"280","AVB",45.925,"12.4292","AVIANO"
"281","AVI",22.0269,"-78.7894","CIEGO DE AVILA MAXIMO GOMEZ"
"282","AVL",35.4367,"-82.5417","Asheville"
"283","AVN",43.9067,"4.9019","Avignon Caumont Airport                 "
"284","AVP",41.3384,"-75.7234","Wilkes-Barre Scranton International Apt"
"285","AVR",38.8855,"-9.0281","ALVERCA-DGMFA"
"286","AVU",-9.867,"160.4000","  Avu Avu"
"287","AVV",-38.0394,"144.4694","Melbourne Avalon Airport"
"288","AWB",-8,"142.7500","  Awaba"
"289","AWD",-19.24,"169.6050","Aniwa"
"290","AWK",19.2819,"166.6386","WAKE ISLAND AAF"
"291","AWZ",31.3375,"48.7603","Ahwaz"
"292","AXA",18.2047,"-63.0539","Anguilla"
"293","AXD",40.8558,"25.9561","Alexandroupolis"
"294","AXK",14.5333,"46.8167","Ataq                                    "
"295","AXM",4.4533,"-75.7658","Armenia                                 "
"296","AXN",45.8663,"-95.3947","ALEXANDRIA/CHANDLER FIELD"
"297","AXP",22.4418,"-73.9709","Spring Point"
"298","AXR",-15.2464,"-146.6203","Arutua                                  "
"299","AXT",39.6156,"140.2185","Akita"
"300","AXU",14.1371,"38.7761","Axum                                    "
"301","AYK",50.325,"66.9600","ARKALYK"
"302","AYP",-13.1511,"-74.2017","Ayacucho                                "
"303","AYQ",-25.1867,"130.9750","Ayers Rock"
"304","AYR",-19.5958,"147.3258","AYR"
"305","AYS",31.2491,"-82.3955","WAYCROSS WARE CO"
"306","AYT",36.9008,"30.7947","Antalya                                 "
"307","AZA",33.3078,"-111.6555","Phoenix Williams Gateway Airport"
"308","AZD",31.9061,"54.2764","Yazd"
"309","AZI",24.4283,"54.4581","Abu Dhabi Bateen Apt"
"310","AZN",40.7267,"72.2933","Andizhan"
"311","AZO",42.2349,"-85.5521","Kalamazoo"
"312","AZR",27.8392,"-0.1853","Adrar"
"313","AZS",19.1986,"-69.4298","Samana"
"314","BAB",39.1362,"-121.4365","BEALE AFB MARYSVILLE"
"315","BAD",32.5018,"-93.6627","BOSSIER CITY/BARKSDALE AFB"
"316","BAF",42.1575,"-72.7158","WESTFIELD/BARNES MUNI"
"317","BAG",16.3767,"120.6189","BAGUIO"
"318","BAH",26.2708,"50.6336","Bahrain                                 "
"319","BAL",37.9322,"41.1164","Batman                                  "
"320","BAM",40.599,"-116.8743","BATTLE MOUNTAIN"
"321","BAQ",10.8894,"-74.7806","Barranquilla"
"322","BAS",-6.967,"155.8830","Balalae"
"323","BAT",-20.585,"-48.5953","BARRETOS/CHAFEI AMSEI"
"324","BAU",-22.3436,"-49.0539","BAURU"
"325","BAV",40.56,"109.9969","Baotou"
"326","BAX",53.3633,"83.5417","Barnaul                                 "
"327","BAY",47.6583,"23.4662","Baia Mare                               "
"328","BAZ",-0.9808,"-62.9189","Barcelos                                "
"329","BBA",-45.9186,"-71.6972","Balmaceda"
"330","BBH",54.3382,"12.7101","BARTH"
"331","BBI",20.2467,"85.8185","Bhubaneshwar                            "
"332","BBJ",49.9453,"6.5650","BITBURG"
"333","BBK",-17.8297,"25.1631","Kasane"
"334","BBM",13.103,"103.2294","BATTAMBANG"
"335","BBN",3.7339,"115.4786","Bario"
"336","BBO",10.3833,"44.9500","Berbera"
"337","BBQ",17.6275,"-61.8269","  Codrington"
"338","BBS",51.3239,"-0.8475","BLACKBUSH"
"339","BBT",4.2261,"15.7856","BERBERATI"
"340","BBU",44.5035,"26.1036","BUCHAREST/BANEASA-AUREL VLAICU"
"341","BBW",41.4367,"-99.6417","BROKEN BOW"
"342","BCA",20.3647,"-74.5067","Baracoa"
"343","BCD",10.6425,"122.9296","Bacolod"
"344","BCH",-8.4854,"126.3993","BAUCAU"
"345","BCI",-23.565,"145.3094","Barcaldine"
"346","BCL",10.7687,"-83.5856","  Barra del Colorado"
"347","BCM",46.5219,"26.9103","BACAU"
"348","BCN",41.2971,"2.0785","Barcelona Apt                           "
"349","BCR",-8.8333,"-67.3117","BOCA DO ACRE/NOVO CAMPO"
"350","BCT",26.3784,"-80.1076","BOCA RATON"
"351","BCV",17.2694,"-88.7761","Belmopan                                "
"352","BCW",-23.7333,"35.1167","Benguera Island"
"353","BDA",32.364,"-64.6787","Bermuda                                 "
"354","BDB",-24.9053,"152.3175","Bundaberg"
"355","BDD",-10.15,"142.1742","  Badu Island"
"356","BDE",48.7284,"-94.6122","BAUDETTE INTL"
"357","BDH",26.5314,"54.8275","Bandar Lengeh                           "
"358","BDJ",-3.4397,"114.7528","Banjarmasin                             "
"359","BDL",41.9389,"-72.6832","Hartford Bradley International Apt"
"360","BDM",40.3156,"27.9828","BALIKESIR/BANDIRMA"
"361","BDO",-6.9019,"107.5761","Bandung"
"362","BDP",26.5703,"88.0758","Bhadrapur"
"363","BDQ",22.3294,"73.2194","Vadodara"
"364","BDR",41.1607,"-73.1245","BRIDGEPORT/IGOR I. SIKORSKY"
"365","BDS",40.6606,"17.9481","Brindisi                                "
"366","BDT",4.25,"20.9667","GBADOLITE"
"367","BDU",69.0558,"18.5403","Bardufoss                               "
"368","BEB",57.4811,"-7.3628","Benbecula                               "
"369","BED",42.47,"-71.2900","BEDFORD/LAURENCE G.HANSCOM FLD"
"370","BEG",44.8194,"20.3125","Belgrade"
"371","BEJ",2.1533,"117.4311","Tanjung Redeb"
"372","BEL",-1.3847,"-48.4789","Belem                                   "
"373","BEN",32.0975,"20.2708","Benghazi"
"374","BEP",15.1628,"76.8828","  Bellary"
"375","BES",48.4472,"-4.4217","Brest"
"376","BET",60.7798,"-161.8380","Bethel Municipal Apt"
"377","BEU",-24.3467,"139.4600","Bedourie"
"378","BEV",31.2881,"34.7231","BEER SHEBA-TEYMAN"
"379","BEW",-19.7947,"34.8992","Beira"
"380","BEX",51.6147,"-1.0939","BENSON"
"381","BEY",33.8206,"35.4900","Beirut                                  "
"382","BFD",41.803,"-78.6402","Bradford"
"383","BFF",41.874,"-103.5956","Scottsbluff"
"384","BFI",47.53,"-122.3020","Seattle Boeing Field"
"385","BFJ",27.3003,"105.3014","Bijie"
"386","BFL",35.4333,"-119.0567","Bakersfield"
"387","BFM",30.6267,"-88.0681","MOBILE DOWNTOWN"
